score,sentence1,sentence2
4.2,مردی در حال پخش صفحه کلید است,نوازنده ای در حال نواختن صفحه کلید است
2.3,مردی در حال نواختن گیتار است,نوازنده ای در حال نواختن صفحه کلید است
2.7,هیچ مردی صفحه کلید بازی نمی کند,مردی در حال نواختن گیتار است
3,مردی در حال نواختن گیتار است,مردی در حال پخش صفحه کلید است
3.3,مردی می خندد,مردی دارد تف می کند
1.7,هیچ مردی تف نمی کند,مردی حرف می زند
1.1,مردی در حال پخش خمیر است,هیچ زنی گوشت را با چاقو خرد نمی کند
3.1,نوزادی می خندد,نوزادی گریه می کند
1.1,یک مرد در حال انجام فعالیت های بدنی است,نوزادی می خندد
1,یک مرد در حال ورزش است,یک کودک خوشحال می خندد
1,نوزادی گریه می کند,یک مرد در حال ورزش است
4.9,سه مرد از دیواری بلند می پرند,سه مرد در حال پریدن از روی دیواری هستند
4,سه مرد در حال پریدن روی دیوار هستند,سه مرد در حال پریدن از روی دیواری هستند
2.8,سه مرد جوان در حال دویدن ، پریدن و لگد زدن به یک ماشین فروش هستند,سه مرد در حال پریدن روی دیوار هستند
2.7,سه مرد در حال پریدن از روی دیواری هستند,سه مرد جوان در حال دویدن ، پریدن و لگد زدن به یک ماشین فروش هستند
3.3,یک گوزن در داخل حصار ایستاده است,یک آهو در حال پریدن از روی حصار طوفان است
3.8,گوزن ها از روی حصار کم ارتفاع می پرند,یک آهو در حال پریدن از روی حصار طوفان است
3.7,یک آهو در حال پریدن از روی حصار طوفان است,گوزنها از روی حصار نمی پرند
4,یک آهو از دیوار پریده است,گوزن ها از روی حصار می پرند
3.5,یک گوزن در داخل حصار ایستاده است,گوزن ها از روی حصار می پرند
4.6,یک آهو در حال پریدن از روی حصار طوفان است,گوزن ها از روی حصار می پرند
4.9,روغن توسط یک مرد در حال هم زدن است,مرد در حال هم زدن روغن است
3.2,مرد در حال هم زدن روغن است,مرد سس مرغ را هم نمی زند
4.3,هیچ مردی گیتار نمی زند,مردی در حال نواختن گیتار است
4.1,مردی در حال نواختن گیتار است,هیچ مردی گیتار نمی زند
4.5,مردی در حال نواختن گیتار الکتریک است,مردی در حال نواختن گیتار است
4.9,مردی در حال نواختن گیتار است,مردی در حال نواختن گیتار است
4.5,سه مرد در یک رشته مشغول کاراته هستند,سه مرد در فضای باز در حال کاراته هستند
3.7,سه مرد در یک رشته مشغول کاراته هستند,سه مرد در ورزشگاه در حال تمرین کاراته هستند
2.4,سه پسر با لباس کاراته درگیری ندارند,سه مرد در یک رشته مشغول کاراته هستند
3.9,برخی از زنان یکدیگر را در یک دایره نگه داشته و می رقصند,چند زن همدیگر را گرفته اند و با هم می رقصند
4.3,دو مرد در حال بازی تنیس روی میز هستند,دو مرد در حال بازی پینگ پنگ هستند
2.8,دو مرد در حال بازی فوتبال روی میز هستند,دو مرد در حال بازی تنیس روی میز هستند
1.1,برخی از زنان یکدیگر را در یک دایره نگه داشته و می رقصند,دو مرد در حال بازی تنیس روی میز هستند
1.1,دو مرد در حال بازی تنیس روی میز هستند,چند زن همدیگر را گرفته اند و با هم می رقصند
3.4,هیچ خانمی کلم بروکلی برش ندارد,زنی در حال قطع کلم بروکلی است
3.1,خانمی چند گل می کارد,زنی در حال بریدن چند گل است
3.5,زنی در حال قطع برخی گیاهان است,زنی در حال قطع کلم بروکلی است
2.3,زنی در حال بریدن چند گل است,هیچ خانمی کلم بروکلی برش ندارد
4.4,خانمی در حال بریدن یک پیاز سفید است,خانمی در حال بریدن یک پیاز است
1,یک اسب سفید ایستاده است,خانمی در حال بریدن یک پیاز است
1,اسبی می دود,خانمی در حال بریدن یک پیاز است
4.1,یک گربه در حال نواختن پیانو است,یک گربه در حال بازی صفحه کلید است
2.4,مردی در حال پخش دو صفحه کلید است,هیچ مردی نیست که دو صفحه کلید بازی کند
2.3,مردی در حال پخش دو صفحه کلید است,هیچ گربه ای کیبورد بازی نمی کند
4.8,میم ها در یک صحنه کوچک اجرا می کنند,میم ها روی صحنه ای اجرا می کنند
4.4,مردان در صحنه ای بازی می کنند,مردان در حال اجرای صحنه هستند
3.5,دو مرد صحنه را ترک می کنند,مردان در حال اجرای صحنه هستند
3.6,مردان در صحنه ای بازی می کنند,میم ها روی صحنه ای اجرا می کنند
3.1,دو مرد صحنه را ترک می کنند,میم ها روی صحنه ای اجرا می کنند
3.5,مردان در حال اجرای صحنه هستند,میم ها در یک صحنه کوچک اجرا می کنند
4.9,مردی در حال برداشتن درخت است,یک درخت در حال برداشت توسط یک مرد است
3.9,مردی در حال کاشت درخت است,مردی در حال برداشتن درخت است
4.6,مردی با شور و اشتیاق گیتار می زند,مردی در حال نواختن گیتار است
3.5,مردی در حال نواختن گیتار است,هیچ مردی گیتار نمی زند
3.5,شخصی در حال گوش دادن به شیپور است,شخصی در حال نواختن شیپور است
1.5,مردی در حال نواختن گیتار است,شخصی در حال گوش دادن به شیپور است
2.5,شخصی در حال نواختن شیپور است,مردی با شور و اشتیاق گیتار می زند
2.5,شخصی در حال نواختن شیپور است,هیچ مردی گیتار نمی زند
2.5,مردی دارنده گیتار است,شخصی در حال نواختن شیپور است
4.5,یک گورکن ، زیرک ، در حال حفاری زمین است,یک گورکن با زیرکی در حال حفاری زمین است
4,یک گورکن ، زیرک ، در حال حفاری زمین است,گورکن در حال سوراخ کاری است
2.7,یک گورکن با زیرکی در حال حفاری زمین است,گورکن حفره ای ندارد
4.2,یک گورکن با زیرکی در حال حفاری زمین است,گورکن در حال سوراخ کاری است
4.6,مقداری مایعات توسط مردی در ظرف ریخته می شود,مردی در حال ریختن مایع در قابلمه است
3.7,مردی در حال ریختن مایع در قابلمه است,هیچ مردی مایع را داخل قابلمه نمی ریزد
3.2,سرآشپز در حال ریختن روغن در ماهیتابه است,مردی در حال ریختن مایع در قابلمه است
2.3,مردی در حال ریختن مایع در قابلمه است,سرآشپز در حال خشک کردن روغن از ظرف است
4.1,مردی در حال ریختن مایع در قابلمه است,سرآشپز در حال ریختن مقداری روغن در تابه است
3.3,این مرد در حال استفاده از تابلو نگار است,این مرد استنوگرافی استفاده نمی کند
4.2,این مرد با احتیاط در حال استفاده از دستگاه بیوگرافی است,مردی در حال تایپ کردن روی دستگاهی است که برای تصویربرداری استفاده می شود
4.8,این مرد در حال تایپ کردن روی دستگاهی است که برای تصویربرداری استفاده می شود,این مرد در حال استفاده از تابلو نگار است
4.7,این مرد در حال استفاده از تابلو نگار است,مردی در حال تایپ کردن روی دستگاهی است که برای تصویربرداری استفاده می شود
4.8,مرد با دقت موش را به مار می خوراند,این مرد با احتیاط موش را به مار می خوراند
4.8,مرد با دقت موش را به مار می خوراند,یک مار توسط یک مرد در حال تغذیه موش است
3.4,هیچ مار توسط یک موش تغذیه نمی شود,این مرد با احتیاط موش را به مار می خوراند
4.9,پسر بچه ای با نشاط با کیسه پا بازی می کند,پسر بچه ای با نشاط با کیسه پا بازی می کند
3.6,مرد پیانو نمی زند,مرد در حال نواختن پیانو است
1.5,مرد در حال نواختن پیانو است,پسری وجود دارد که با خوشرویی با کیسه پا بازی می کند
1.3,مرد در حال نواختن پیانو است,پسر بچه ای با نشاط با کیسه پا بازی می کند
4.5,مردی در حال مخلوط کردن چند ماده در یک کاسه است,برخی از مواد توسط شخصی در یک کاسه مخلوط می شوند
2.8,شخصی در حال مخلوط کردن مواد تشکیل دهنده برای مرد است,برخی از مواد توسط شخصی در یک کاسه مخلوط می شوند
3.4,یک زن در حال شکستن دو تخم مرغ در یک کاسه است,هیچ زنی در یک کاسه تخمک شکنی نمی کند
3.3,یک زن در حال شکستن دو تخم مرغ در یک کاسه است,برخی از مواد توسط شخصی در یک کاسه مخلوط می شوند
4.6,دختر بی پروا در حال پریدن روی اتومبیل است,دختر بی پروا در حال پریدن روی یک وسیله نقلیه است
3.6,دختر بی پروا در حال پریدن روی اتومبیل است,دختر بی پروا روی ماشین نمی پرد
4.9,یک خانم جوان در حال پریدن روی ماشین است,یک دختر در حال پریدن روی ماشین است
4.4,دختر بی پروا در حال پریدن روی اتومبیل است,یک خانم جوان در حال پریدن روی ماشین است
3.6,دختر بی پروا در حال پریدن روی اتومبیل است,هیچ دختری نیست که به داخل ماشین بپرد
4,دختری سوار ماشین پرشی است,دختر بی پروا در حال پریدن روی اتومبیل است
4.2,دختر بی پروا در حال پریدن روی یک وسیله نقلیه است,یک دختر در حال پریدن روی ماشین است
3.3,دختر بی پروا روی ماشین نمی پرد,یک دختر در حال پریدن روی ماشین است
2.9,یک اتومبیل با خطر از بالای یک دختر می پرد,یک دختر در حال پریدن روی ماشین است
4.4,دختر بی پروا در حال پریدن روی اتومبیل است,یک دختر در حال پریدن روی ماشین است
4.7,یک زن به آرامی در حال پوست کندن یک سیب زمینی است,یک زن در حال پوست کندن یک سیب زمینی است
3.6,یک زن در حال پرتاب پوست سیب زمینی است,یک زن در حال پوست کندن یک سیب زمینی است
3.6,یک زن در حال پوست کندن یک سیب زمینی است,سیب زمینی توسط یک زن پوست نمی شود
4.5,یک زن به آرامی در حال پوست کندن یک سیب زمینی است,سیب زمینی توسط یک زن پوست می شود
3.5,هیچ زنی پوست سیب زمینی را نمی گیرد,سیب زمینی توسط یک زن پوست می شود
4.8,سیب زمینی توسط یک زن پوست می شود,یک زن در حال پوست کندن یک سیب زمینی است
4.8,گیتار توسط مرد نواخته می شود,مرد نوازنده گیتار است
1,یک قایق با آرامش از آب عبور می کند,گیتار توسط یک مرد نواخته می شود
1,یک قایق آرام بر فراز آب در حال حرکت است,گیتار توسط مرد نواخته می شود
1,آب آرام باعث بازتاب بادبان یک قایق می شود,گیتار توسط مرد نواخته می شود
4.6,مرد در حال ریختن روغن روی چند گوجه فرنگی است,یک نفر روی چند گوجه روغن می ریزد
4.8,مقداری روغن توسط مرد روی گوجه ها ریخته می شود,مرد در حال ریختن مقداری روغن روی گوجه فرنگی ها است
3,مرد در حال ریختن مقداری روغن روی گوجه فرنگی ها است,مردی روی گوجه فرنگی ها روغن نمی ریزد.
3.7,یک بچه گربه در حال نوشیدن شیر تازه است,هیچ بچه گربه ای که شیر می نوشد وجود ندارد
3.7,هیچ بچه گربه ای که شیر می نوشد وجود ندارد,شیر توسط یک گربه در حال نوشیدن است
4.2,یک بچه گربه در حال نوشیدن شیر تازه است,شیر توسط یک گربه در حال نوشیدن است
4.8,مردی یک قورباغه را بی خیال نگه داشته است,مردی بی خیال قورباغه ای را در دست گرفته است
3.6,مردی بی خیال قورباغه ای را در دست گرفته است,مردی بی خیال یک قورباغه می اندازد
1.1,مردی در حال تخلیه ظرفی است که از پلاستیک ساخته شده است,مردی یک قورباغه را بی خیال نگه داشته است
1.2,مردی در حال تخلیه ظرفی است که از پلاستیک ساخته شده است,مردی بی خیال یک قورباغه می اندازد
4.9,مردی در حال خرد کردن یک پیاز است,یک پیاز توسط یک مرد خرد می شود
3.7,مردی در حال خوردن برش های پیاز است,مردی در حال خرد کردن یک پیاز است
4.9,یک پیاز توسط یک مرد بریده می شود,پیاز توسط مرد بریده می شود
3.1,هیچ پیازی توسط یک مرد بریده نمی شود,یک پیاز توسط یک مرد بریده می شود
4.8,یک پیاز توسط یک مرد خرد می شود,یک پیاز توسط یک مرد بریده می شود
3.2,یک پیاز توسط یک مرد بریده می شود,مردی در حال خوردن برش های پیاز است
4.2,یک مرد بی پروا سوار اسب می شود,شخصی بی پروا سوار اسب می شود
4.1,یک مرد بی پروا سوار اسب می شود,هیچ مردی بی پروا سوار اسب نمی شود
1.4,یک مرد بی پروا سوار اسب می شود,زن سوار فیل نمی شود
5,شخصی در حال نواختن پیانو است,کسی پیانو می زند
1,کسی پیانو می زند,هیچ کس به حیوان غذا نمی دهد
4,یک مرد مایکروویو را روشن می کند,یک مرد در حال خاموش کردن مایکروویو است
3.7,یک مرد مایکروویو را روشن می کند,هیچ کس در حال فشار دادن دکمه های مایکروویو نیست
4.3,یک مرد مایکروویو را روشن می کند,مردی در حال فشار دادن دکمه های مایکروویو است
3.1,فلوت توسط دختری نواخته می شود,فلوت توسط دختری کنار گذاشته می شود
3.8,فلوت توسط دختری نواخته می شود,دختری در حال ساخت فلوت است که قرار نیست نواخته شود
4.485,یک زن در حال تمرین با فلوت است,یک زن در حال نواختن فلوت است
4.2,فلوت توسط دختری نواخته می شود,یک زن در حال تمرین با فلوت است
5,پسری با خوشحالی پیانو می نوازد,یک پسر با خوشحالی پیانو می نوازد
3.8,پسر با خوشحالی پیانو نمی نوازد,پسری با خوشحالی پیانو می نوازد
4.3,پسری با خوشحالی پیانو می نوازد,یک پیانو توسط یک شخص نواخته می شود
3.3,پسری با خوشحالی پیانو می نوازد,یک پیانو توسط یک مرد نواخته نمی شود
2.1,پسری با خوشحالی پیانو می نوازد,نوازنده پیانو مردی سر سخت است
2.6,یک پیانو توسط یک مرد نواخته می شود,این نمایش در مورد پسری خوشحال است که پیانو می نوازد
3.8,پسری با خوشحالی پیانو می نوازد,یک پیانو توسط یک مرد نواخته می شود
4.6,یوزپلنگ به سرعت در پشت طعمه های خود می دود.,یوزپلنگ به سرعت در پشت طعمه های خود می دود
3.8,یوزپلنگ به سرعت در پشت طعمه های خود می دود.,هیچ یوزپلنگی وجود ندارد که به سرعت در پشت طعمه خود بدود
3.6,یوزپلنگ در حال شکار طعمه های خود در یک مزرعه است,هیچ یوزپلنگی وجود ندارد که به سرعت در پشت طعمه خود بدود
3.7,یوزپلنگ توسط طعمه های خود در سراسر مزرعه تکان می خورد.,یوزپلنگ به سرعت در پشت طعمه های خود می دود.
4.2,شیر به آرامی راه می رود,یک شیر آرام آرام در حال حرکت است
1.8,هیچ مردی با صدای بلند گیتار نمی زند,فلوت توسط یک مرد نواخته می شود
2.8,مرد با صدای بلند مجاز به نواختن گیتار نیست,فلوت توسط یک مرد نواخته می شود
3.1,مردی با صدای بلند گیتار می زند,فلوت توسط یک مرد نواخته می شود
3.3,فرد در حال خوردن یک فلفل پرتقال نیست,فرد در حال خوردن یک فلفل نارنجی است
2.9,فرد در حال خوردن یک فلفل نارنجی است,تکه های نارنجی رنگی توسط یک آشپز ریخته می شود تا فلفل را بدست آورد
3.1,برخی از زنگ ها در نزدیکی آشپز در حال خرد کردن فلفل به صدا در می آیند,یک آشپز در حال بریدن مقداری فلفل دلمه ای است
3.4,هیچ آشپزی وجود ندارد که مقداری فلفل دلمه ای را برش بزند,فرد در حال خوردن یک فلفل نارنجی است
4.1,یک آشپز در حال بریدن مقداری فلفل دلمه ای است,یک فلفل پرتقال توسط شخصی خرد می شود
3.5,فرد در حال خوردن یک فلفل پرتقال نیست,یک آشپز در حال بریدن مقداری فلفل دلمه ای است
4.3,فرد در حال خوردن یک فلفل نارنجی است,یک آشپز در حال بریدن مقداری فلفل دلمه ای است
4.9,مقداری توفو توسط یک زن بریده می شود,توفو توسط زنی بریده می شود
3.5,توفو توسط زنی بریده می شود,توفو توسط یک زن قطعه قطعه نشده است
2.2,دختری کره را دو تکه می کند,مقداری توفو توسط یک زن بریده می شود
4.4,یک مرد ثابت روی صندلی نشسته است,یک نفر روی صندلی نشسته است
3.7,مرد بی احتیاط کره را روی یک تکه نان سیر آغشته می کند,مرد کره را روی نان نمی مالد
4.1,مردی کره را از روی یک تکه نان که بزرگ است برمی دارد,مردی روی یک تکه نان کره که بزرگ است کره پخش می کند
3.5,طوطی مشغول صحبت با میکروفون است,هیچ طوطی حرف نمی زند
2.9,یک طوطی دارد حرف می زند,طوطی در مقابل میکروفن ساکت است
3.7,بعضی بچه گربه ها گرسنه هستند,بعضی بچه گربه ها دارند غذا می خورند
2.9,مردی نزدیک بچه گربه ها مشغول غذا خوردن است,بعضی بچه گربه ها دارند غذا می خورند
3.3,غذای سینی ها را بچه گربه ها نمی خورند,غذای سینی ها را بچه گربه ها می خورند
4.7,بچه گربه ها در حال خوردن غذا در سینی ها هستند,بعضی بچه گربه ها دارند غذا می خورند
2.9,بعضی بچه گربه ها گرسنه هستند,غذای سینی ها را بچه گربه ها می خورند
4.4,غذای سینی ها را بچه گربه ها می خورند,بعضی بچه گربه ها دارند غذا می خورند
4.1,شخصی در حال آواز خواندن و نواختن گیتار است,هیچ کس آواز و نواختن گیتار ندارد
4,شخصی در حال آواز خواندن و نواختن گیتار است,خواننده در مقابل یک نفر در حال نواختن گیتار است
4.9,یک مرد با شور و اشتیاق گیتار می زند,یک مرد با شور و اشتیاق گیتار می زند
3.4,مردی گیتار را کنار می گذارد,شخصی در حال آواز خواندن و نواختن گیتار است
4.2,یک مرد با شور و اشتیاق گیتار می زند,شخصی در حال آواز خواندن و نواختن گیتار است
4.185,شخصی در حال آواز خواندن و نواختن گیتار است,یک مرد با شور و اشتیاق گیتار می زند
4.4,برخی از حیوانات به طرز وحشیانه ای در آب بازی می کنند,چند حیوان در آب بازی می کنند
1,چند حیوان در آب بازی می کنند,هیچ کس پینگ پنگ بازی نمی کند
1,دو نفر در حال بازی پینگ پنگ هستند,چند حیوان از آب خارج شده اند
1,دو نفر در حال بازی پینگ پنگ هستند,چند حیوان در آب بازی می کنند
4.4,پنجره ها توسط یک مرد صیقل می خورند,پنجره ها توسط یک مرد تمیز می شوند
3.4,پنجره ها توسط یک مرد تمیز می شوند,هیچ پنجره ای توسط یک مرد تمیز نمی شود
4.6,مرد با احتیاط در حال رانندگی است,مرد در حال رانندگی ماشین است
1.1,مرد در حال رانندگی ماشین است,پنجره ها توسط یک مرد صیقل می خورند
1.4,پنجره ها توسط یک مرد تمیز می شوند,مرد در حال رانندگی ماشین است
1,زن در حال ریختن روغن در ماهیتابه است,یک شامپانزه با عصبانیت هدف را لگد می زند
4.9,کودک توسط یک زن در سطل آشغال قرار داده می شود,زنی کودک را درون سطل آشغال می اندازد
3.8,هیچ کودکی توسط زنی در سطل آشغال قرار داده نمی شود,کودک توسط یک زن در سطل آشغال قرار داده می شود
1,کودک توسط یک زن در سطل آشغال قرار داده می شود,شخصی با بی احتیاطی گوشت را درون یک ماهیتابه می گذارد
1,شخصی گوشت را در ماهیتابه برمی دارد,کودک توسط یک زن در سطل آشغال قرار داده می شود
1,شخصی در حال ریختن گوشت در ماهیتابه است,هیچ کودکی توسط زنی در سطل آشغال قرار داده نمی شود
1,کودک توسط یک زن در سطل آشغال قرار داده می شود,شخصی در حال ریختن گوشت در ماهیتابه است
1.4,بچه گربه با اشتیاق مقداری شیر از کاسه می نوشد,یک کودک کوچک در حال پر کردن فنجان با آب است
3.9,گروه آواز می خوانند,گروه آواز نمی خوانند
2.9,خواننده گروه را ترک می کند,گروه آواز می خوانند
1,یک زن با دقت آرایش می کند,گروه آواز نمی خوانند
1,یک زن با دقت آرایش می کند,گروه آواز می خوانند
4.5,زن با خوشحالی گیتار می زند که آکوستیک است و آواز می خواند,زن در حال نواختن گیتار ، آکوستیک و آواز است
4.4,زن با خوشحالی گیتار می زند که آکوستیک است و آواز می خواند,شخصی در حال نواختن گیتار و آواز خواندن است
3.9,این خواننده در یک کنسرت آکوستیک برای یک زن در حال نواختن گیتار است,شخصی در حال نواختن گیتار و آواز خواندن است
3.585,هیچ کس گیتار نمی زند و آواز نمی خواند,زن در حال نواختن گیتار ، آکوستیک و آواز است
1.9,زن در حال نواختن گیتار ، آکوستیک و آواز است,خواننده در حال استخدام شخصی برای اخراج نوازنده گیتار است
4,یک کامیون به سرعت از یک تپه پایین می رود,یک کامیون به سرعت از یک تپه بالا می رود
1,یک کامیون به سرعت از یک تپه پایین می رود,مقداری آب توسط گربه در حال نوشیدن است
1,مقداری آب توسط گربه در حال نوشیدن است,یک کامیون به سرعت از یک تپه پایین می رود
4.5,زن جوانی در حال نواختن گیتار است,دختری در حال نواختن گیتار است
3.3,دختری در حال نواختن گیتار است,دختری گیتار نمی زند
4.8,یک مرد به شدت در حال نواختن گیتار است,مرد به شدت در حال نواختن گیتار است
2.9,مرد به شدت در حال نواختن گیتار است,مرد به شدت گیتار نمی زند
3.7,مرد به شدت در حال نواختن گیتار است,مرد شدید نوازنده گیتار است
3.2,دختری در حال نواختن گیتار است,یک مرد به شدت در حال نواختن گیتار است
2.8,مرد شدید نوازنده گیتار است,دختری در حال نواختن گیتار است
2.7,مرد به شدت در حال نواختن گیتار است,نوازنده گیتار عاشق یک دختر است
3.7,دختری در حال نواختن گیتار است,مرد به شدت در حال نواختن گیتار است
4.6,مردی سوار موتور است,مردی در حال رانندگی با موتور است
3.3,مردی در حال پارک کردن موتور است,مردی سوار موتور است
3.1,مردی سوار موتور است,یک موتورسوار در حال فرار از یک مرد است
1.8,مرد سوار اسب می شود,مردی در حال رانندگی با موتور است
1.6,مرد سوار اسب می شود,مردی در حال پارک کردن موتور است
1.5,یک موتورسوار در حال فرار از یک مرد است,مرد سوار اسب می شود
3,مردی سوار حیوان است,مردی سوار موتور است
4.3,یک شعبده بازی توسط شعبده باز در حال انجام است,مرد یک حقه شعبده بازی می کند
3.6,مرد ترفند جادویی انجام نمی دهد,مرد یک حقه شعبده بازی می کند
3.4,مرد یک حقه شعبده بازی می کند,بچه ای که در حال جادوگری است ، پیرمردی را فریب می دهد
2.5,مردی به طور خطرناکی چاقوها را به سمت درخت پرتاب می کند,مرد یک حقه شعبده بازی می کند
2.1,یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است,یک شعبده بازی توسط شعبده باز در حال انجام است
2,یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است,مرد ترفند جادویی انجام نمی دهد
1.5,بچه ای که در حال جادوگری است ، پیرمردی را فریب می دهد,یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است
4.3,گیتار توسط یک خانم نواخته می شود,گیتار توسط دختری نواخته می شود
2.6,گیتار توسط یک خانم نواخته می شود,بازی برای خانم ها نیاز به یک گیتار دارد
4.6,مرد در حال تمرین گیتار است,فرد در حال تمرین گیتار است
3.1,شخص تمرین کننده گیتار را دوست ندارد,گیتار توسط یک خانم نواخته می شود
2,فرد در حال تمرین گیتار است,گیتار توسط یک خانم فروخته می شود
2.3,فرد در حال تمرین گیتار است,بازی برای خانم ها نیاز به یک گیتار دارد
4.5,پسر با اشتیاق در لجن بازی می کند,پسر در لجن بازی می کند
3.4,پسر در لجن بازی می کند,پسر در گل بازی نمی کند
4.085,گربه در حال بازی با دستگاه است,یک وسیله بازی گربه را سرگرم می کند
1.2,پسر در لجن بازی می کند,هیچ گربه ای با دستگاه بازی نمی کند
1,گربه در حال بازی با دستگاه است,پسر با اشتیاق در لجن بازی می کند
1.2,گربه در حال بازی با دستگاه است,لجن به سمت پسر بازیگر پرتاب می شود
1.5,گربه در حال بازی با دستگاه است,پسر در لجن بازی می کند
3.3,زن در حال خوردن چند قطعه گوشت خام خرد شده است,مقداری گوشت توسط زنی تکه تکه می شود
4.5,یک خانم دقیقاً مقداری گوشت را برش می دهد,خانمی در حال بریدن مقداری گوشت است
2.6,هیچ خانمی گوشت را برش نمی دهد,مقداری گوشت توسط زنی تکه تکه می شود
3.5,مقداری گوشت توسط یک زن به هم دوخته می شود,خانمی در حال بریدن مقداری گوشت است
4.7,پسری در سن نوجوانی با دوربین اینترنتی با دختری صحبت می کند,پسری در سن نوجوانی با وب کم با دختری صحبت می کند
3.9,پسری در سن نوجوانی با وب کم با دختری صحبت می کند,نوجوانان با وب کم با یک دختر و پسر صحبت می کنند
5,یک مرد با یک دوربین اینترنتی با دختری صحبت می کند,یک مرد با یک دوربین اینترنتی با دختری گپ می زند
3,یک مرد با یک دوربین اینترنتی با دختری صحبت می کند,پسری در نوجوانی با وب کم با دختری صحبت نمی کند
3.1,یک مرد با یک دوربین اینترنتی با دختری صحبت می کند,نوجوانان با وب کم با یک دختر و پسر صحبت می کنند
4.8,تخمها توسط یک شخص به شدت در یک کاسه خرد می شوند,شخصی به شدت در ظرفی تخم مرغ می زند
2.6,شخصی به شدت در ظرفی تخم مرغ می زند,شخصی تخمها را از یک کاسه خارج می کند
3,شخصی به شدت در ظرفی تخم مرغ می زند,هیچ خانمی نیست که در یک کاسه دو تخم مرغ را بزند و از سیم پیچ سیم استفاده کند
4.8,مصاحبه توسط مرد انجام می شود,مرد مصاحبه می کند
3.2,مصاحبه کننده به مرد وقت استراحت می دهد,مرد مصاحبه می کند
4.7,یک ماشین سفید توسط این مرد رانده می شود,شخصی در حال رانندگی با ماشین سفید است
3.5,هیچ ماشین سفیدی توسط این مرد رانده نمی شود,یک ماشین سفید توسط این مرد رانده می شود
1.1,مرد مصاحبه می کند,شخصی در حال رانندگی با ماشین سفید است
1.45,یک ماشین سفید توسط این مرد رانده می شود,مصاحبه توسط مرد انجام می شود
1,مرد مصاحبه را انکار می کند,یک ماشین سفید توسط این مرد رانده می شود
1.2,مرد مصاحبه می کند,یک ماشین سفید توسط این مرد رانده می شود
3.8,هیچ مردی از طناب بالا نمی رود,یک طناب توسط یک مرد بالا می رود
3.3,یک کوهنورد مردی را طناب می زند,یک طناب توسط یک مرد بالا می رود
4.3,مردی بی خیال هویج را با دستگاه خرد می کند,مردی در حال خرد کردن هویج با دستگاه است
3.2,مردی هویج را از دستگاه خارج می کند,مردی در حال خرد کردن هویج با دستگاه است
1.1,یک طناب توسط یک مرد بالا می رود,مردی بی خیال هویج را با دستگاه خرد می کند
1,یک طناب توسط یک مرد بالا می رود,مردی در حال خوردن هویج خرد شده توسط دستگاه است
1.2,مردی در حال خرد کردن هویج با دستگاه است,یک کوهنورد مردی را طناب می زند
1.3,یک طناب توسط یک مرد بالا می رود,مردی در حال خرد کردن هویج با دستگاه است
3.4,گربه از نعلبکی شیر می لیسد,گربه از بشقاب شیر نمی لیسد
4.8,مقداری شیر توسط گربه با گرسنگی در حال نوشیدن است,گربه با گرسنگی شیر می خورد
3.7,هیچ گربه ای با گرسنگی شیر نمی خورد,گربه با گرسنگی شیر می خورد
3.4,نوشیدن شیر به گرسنگی گربه کمک می کند,گربه از نعلبکی شیر می لیسد
4.1,گربه دارد یک ظرف کم عمق پر از شیر را لیس می زند,گربه با گرسنگی شیر می خورد
4.3,گربه از بشقاب شیر نمی لیسد,گربه با گرسنگی شیر می خورد
3,نوزادی در حال بازی با سگ است,یک پسر کوچک به یک سگ سرزنش می کند
5,زنی در حال پوست کندن یک سیب زمینی است,یک زن سیب زمینی را پوست می کند
5,مرد در حال بریدن مقداری سیب زمینی است,مرد در حال خرد کردن سیب زمینی است
3.6,مرد در حال خوردن برش های سیب زمینی است,مرد در حال خرد کردن سیب زمینی است
2.5,زنی در حال پوست کندن یک سیب زمینی است,مرد در حال خوردن برش های سیب زمینی است
3.5,مرد در حال خرد کردن سیب زمینی است,یک زن سیب زمینی را پوست می کند
3.4,مرد در حال خرد کردن سیب زمینی است,هیچ زنی پوست سیب زمینی را نمی گیرد
3.4,مرد در حال خرد کردن سیب زمینی است,زنی در حال پوست کندن یک سیب زمینی است
3.4,مردی در حال عکس گرفتن از یک دریاچه است,مردی در حال پاره کردن تصاویر یک دریاچه است
3.5,این مرد در حال تنظیم دوربین و گرفتن عکس غروب خورشید در ساحل است,مرد دوربین را کنار گذاشته و از ساحل دور می شود
3.6,یک زن در حال باز کردن دوخت با ماشین است,خانمی در حال خیاطی با دستگاه است
4.8,یک زن از دستگاهی که برای خیاطی ساخته شده استفاده می کند,خانمی از چرخ خیاطی استفاده می کند
5,یک تخم مرغ توسط یک زن در یک کاسه شکسته می شود,زنی در حال شکستن تخم مرغ در یک کاسه است
3.3,زن در حال شکستن دو تخم مرغ در یک کاسه شیشه ای است,زن در حال شکستن دو تخم مرغ در یک کاسه شیشه ای نیست
4.5,زن در حال شکستن دو تخم مرغ در ظرفی است که از شیشه ساخته شده است,زنی در حال شکستن تخم مرغ در یک کاسه است
3.8,زن در حال شکستن دو تخم مرغ در یک کاسه شیشه ای است,هیچ زنی تخم مرغ را به یک کاسه نمی شکند
